Subj #,,Spr 5_6,JC (1) ,JC (2),BC (1) ,BC (2) ,Category 1,Category 2
1,,Gave myself time to lie down on the couch and mindlessly scroll through social media and catch up on what my friends have been up to!,Physical,Mental,Mental,,Physical,Mental
2,,I went on a run!,Physical,,Physical,,Physical,
3,,This week I spent at least 20 minutes reading a book that I had found online as a break from studying. ,Mental,,Mental,,Mental,
4,,"I took a walk to my neighborhood park , sat on the grass and watched a video in the sun.",Physical,Environmental,Physical,Environmental,Physical,Environmental
5,,I went to watch movie at ipic theatre in redmond for my friends birthday. It was very interesting because you order food and drinks as you are watching your favorite movie. I enjoyed the time with her and the service there. It felt like special selfcare treatment.,Environmental,Physical,Community,Environmental,Community,Environmental
6,,I sat on my balcony and just enjoyed my coffee for one hour in the warm weather. We rarely have warm weather and I really appreciate it when we do. ,Physical,Environmental,Environmental,Physical,Physical,Environmental
7,,"Reflection: I spent a little bit of time reflecting on how school is going so far and how I can improve for the remainder of the quarter. As the last quarter of our first year approaches, the number of exams, projects, and other school related projects can be overwhelming. It is always good to plan ahead and try to stick to that plan to minimize stress. ",Emotional,,Occupational,,Occupational,
8,,"I've been struggling with anxiety lately, which is not something I've ever had to deal with in my life before. When we first started keeping track of wellness activities, I had just begun going to therapy. I went every week, and then every other week and now I am down to as needed because in a lot of ways my mental health has improved since the beginning of Winter quarter. Unfortunately constant anxiety has cropped up as a new symptom in the past few weeks and I'm thinking I may need more support than just talk therapy. My mom is on an insurance plan through her work and since I am still included on her insurance, I thankfully have access to some free psychiatry and life-coach resources. I took time to research those options and am currently finding time in my schedule to set up a session",Emotional,,Emotional,Mental,Emotional,Mental
9,,Went to the IMA to workout,Physical,Environmental,Physical,Environmental,Physical,Environmental
10,,"For my wellness self-care, I am documenting our team session today. I really enjoyed Jen's paracord activity and found myself really relaxed (after I got out my initial frustration haha).",Community,,Mental,Community,Mental,Community
11,,n/a,,,,,,
12,,My fiancé and I went and got dinner with my dad and my brother for their birthdays (both are in late April). It was really fun to catch up with them and celebrate together. ,Physical,Community,Community,,Physical,Community
13,,I had more unconventional self-care activity today. I did some retail therapy by going to UVillage and got a candle because my candle supply was running low. I like to light a candle when I'm studying because it makes it more cozy and the nice smell temporarily distracts me from the stress from any exams! I suppose it's unconventional because I also want to save money but I also really wanted that candle!,Mental,Environmental,Mental,Environmental,Mental,Environmental
14,,This week I was able to take some more time and go on a longer hike to the Oyster Dome. ,Physical,Environmental,Physical,Environmental,Physical,Environmental
15,,Cooked some wings for lunch (30 minutes),Mental,,Physical,,Mental,
16,,I’ve been really stressed lately due to midterms so I find stress-relief in working out. I took a workout class this morning that was team-based and it was a lot of fun working with others to complete a goal. It was a great stress-relieving break from studying.,Physical,Community,Physical,Community,Physical,Community
17,,I have been spending more time with my chickens feeding them and playing with them!,Emotional,,Mental,,Mental,
18,,[photo of homemade smoothie],Mental,,Physical,,Mental,
19,,"I am sick currently, so I only listened to music and took a 45 minute nap. ",Physical,Emotional,Physical,Emotional,Physical,Emotional
20,,I took a walk and practiced breathing as a way to relax myself.,Physical,,Physical,,Physical,
21,,I spent 30 minutes to listening to my favorite music.,Emotional,,Emotional,,Emotional,
22,,"I spent 2 hours to re-read the Buddha's Brain book. I help me to practice mindfulness, self-compassion, a growth mindset, and happiness.",Spiritual,Emotional,Spiritual,Emotional,Spiritual,Emotional
23,,I drank wine with my boyfriend and had a relaxing weekend night after midterms ,Community,Physical,Community,Physical,Community,Physical
24,,took a walk outside and enjoyed the sun for a few minutes,Physical,Environmental,Physical,Environmental,Physical,Environmental
25,,I play with cats and worked out for 1 hour. ,Emotional,Environmental,Physical,Mental,Mental,Physical
26,,"I am recovering from being sick for a week, so I could not do any outdoor activities. I continued practicing meditations, and I have improved drastically. I can boldly say, I can put my thoughts in check now.",Spiritual,,Spiritual,Mental,Spiritual,Mental
