Subj #,,Win 3_4,JC (1) ,JC (2),BC (1),BC (2),Category 1,Category 2
1,,I spent time before work to do an easy 20-minute yoga flow since I’ve been spending a lot of time sitting at my desk and I am trying to get back into a routine for exercise!,Physical,,Physical,,Physical,
2,,"One of the activities that I chose from the Choice Board was relax. I find cleaning and organizing to be relaxing and a good stress reliever for me, so I decided to organize my room, file away emails and documents on my computer all while listening to music. I think that doing this helps me feel like I have my life somewhat put together and it allows me to be more productive with my work when I'm sitting in a clean space!",Environmental,Mental,Environmental,Mental,Environmental,Mental
3,,I took a walk around campus with my roommate to get some exercise and fresh air,Physical,Environmental,Physical,,Physical,Environmental
4,, I worked on more of the Paint by Diamonds.,Mental,,Mental,,Mental,
5,,"I met up with my friends for coffee and it was the best experience of the week. we connected, laughed, encouraged each other and reminisced our past. ",Community,Physical,Community,Emotional,Community,Emotional
6,,"The activity that resonates with me is Connecting to the environment, I spent the 20 mins of my time relaxing, staring out of the window while I drank coffee so I feel refreshed and I can get back to work and catch up on my assignments after class. ",Environmental,Physical,Environmental,Mental,Environmental,Mental
7,,"Given that I have been sick for the past two weeks, I have chosen to complete the Self-connectedness activity. I wrote down on my planner a brief summary of changes that I plan to make this quarter to improve my health and remind myself to take some time off throughout the week to go for a walk, exercise, or do an activity that I enjoy like playing basketball. ",Emotional,,Mental,,Emotional,
8,,I started going to therapy this week! It was just the first session (my first session ever) but I am very hopeful.,Emotional,,Emotional,,Emotional,
9,,I worked out at the IMA.,Physical,Environmental,Physical,,Physical,Environmental
10,,I started a new Netflix show to balance my study-relaxation!,Mental,,Mental,,Mental,
11,,I love connecting with the environment by enjoying the sunset. My husband and I took a half hour walk through Magnuson Park at sunset and I was able to take lots of good photos of the sun setting on rainier.,Environmental,Community,Environmental,Physical,Environmental,Physical
