Subj #,,Win 5_6,JC (1) ,JC (2),BC (1),BC (2),Category 1,Category 2
1,,Took a nap before work since my team this week was part of the first subteam.,Physical,,Physical,,Physical,
2,,"One of the activities that I chose for self-care was social connectedness. I was missing my older brother and his wife since they moved out of the family home, so I drove up to Marysville to visit and spend some time with them. It was nice because I hadn't seen them in a while.",Community,,Community,,Community,
3,,I listened to some of my favorite artists while cooking ,Emotional,Mental,Emotional,Physical,Emotional ,Physical
4,,I worked on my Paint by Diamond while listening to classical music.,Mental,Emotional,Mental,Emotional,Mental,Emotional
5,,I soaked in the bathtub for an hour with relaxing music in the background. I was energized ❤️,Mental,Emotional,Physical,Emotional,Physical,Emotional
6,,I Focused on Resilience and growth mindset. I took this time to catch up some assignments such as  completing my CORE question for the week and doing the midpoint attestation. I did this while I had coffee and spend the rest of the time planning for the mentor meeting. I used this time to be productive so I can relieve some stress from my day.  ,Mental,Physical,Occupational,,Occupational,Physical
7,,"Social connectedness:I felted like I needed a break from school today. A lot going on in my head and I felt like I haven't been very social lately because all I do is study. Today, I spent some time to FaceTime my grandmother and a few other family/friends just to have a nice conversation. I also asked a friend if they wanted to go out and have lunch and maybe get a drink while watching sports. I felt like i really needed it since the quarter has been a bit of a struggle. ",Community,,Community,,Community,
8,,I had improv rehearsal and it was the first time this quarter where everyone was present ,Mental,Community,Mental,Community,Mental,Community
9,,I relaxed and watched some Netflix,Mental,,Mental,,Mental,
10,,"Since the weather has been pretty nice, I got coffee and took a walk!",Physical,,Physical,,Physical,
11,,"I have been biking 4 miles to school and back every in person day. It feels so nice to be able to be back on campus again and exercising each way. It takes about 25 minutes each way and I love it, unless it’s raining, then it isn’t as relaxing.  ",Physical,Environmental,Physical,Environmental,Physical,Environmental
12,,"The other day I was stressed and tired and felt like I was rereading the same thing over and over and not absorbing it. So I took a break, had a snack, and then decided to draw for a little bit.  I used to draw quite frequently, it was one of my passions when I was younger but something I don't indulge in often anymore.  It was nice to spend a good 30 minutes drawing and letting myself just zone into this one thing that has always allowed me to clear my mind.  ",Mental,Physical,Mental,Physical,Mental,Physical
13,,"Today I needed to get some pens to take notes and I decided to go to Daiso which is only about a mile away. Instead of driving, I decided to walk and get some fresh air and I found it helps with my mental health and overall feeling healthier. I was able to really look around and see what other places are around me which I normally would not have noticed if I were to drive! ",Physical,Environmental,Environmental,Physical,Physical,Environmental
14,,Cooked my roommate dinner yesterday.,Mental,,Physical,,Physical,
15,,I spent 30 minutes having lunch.,Physical,,Physical,,Physical,
16,,"For this week's self-care, I spent my time actually being able to cook a meal. Although this sounds like an easy task to complete everyday, I've actually haven't had the time to be able to even do something so simple. With having to go back to campus starting this week and trying to catch up with school, simple tasks like cooking a meal or even folding laundry has been quite difficult to complete. So I am grateful for any amount of extra time in the day to get things done.",Mental,,Physical,,Mental,
17,,I went out to eat at a buffet with a friend to unravel after a long week!,Physical,Community,Community,Physical,Physical,Community
18,,I bought more plants!!! ,Mental,,Mental,,Mental,
19,,Listened to relaxing environmental/raining sounds on Youtube for 30 minutes,Emotional,,Emotional,,Emotional ,
20,,Lately my physical health has not been great and I am not sure what has been the cause of it. This has been a huge stressor for me since it has been affecting my sleep and daily habits. Today hopefully I took a step towards getting healthier and completed some lab work. Hopefully I can find out what is going on and live healthier because of it.,Mental,,Physical,,Physical,
21,,I spent 20 minutes on dancing with my favorite song in the background ,Physical,Emotional,Physical,Emotional,Physical,Emotional
22,,I enjoyed a coffee with my friend on a sunny day the other day and it was a wonderful time.,Physical,Community,Community,Physical,Physical,Community
23,,I went to the gym ,Physical,Environmental,Physical,Environmental,Physical,Environmental
24,,tried a new game in virtual reality,Mental,,Mental,Environmental,Mental,Environmental
25,,I worked out for an hour.,Physical,,Physical,,Physical,
26,,"Aside the 30-45 minutes' walk I do 3-4 times in a week. I have been watching videos on mind meditation and practicing it. I also met a friend for an hour, and it was refreshing.  ",Spiritual,Community,Spiritual,Community,Spiritual,Community
27,,"For my self care this week, it took more than 20 minutes but I thought it was worth it, I cleaned and organized my kitchen. Having a clean and organized space helps me feel calm and relaxed. If my space is unorganized, it is like I can feel the chaos of the space. Cleaning and organizing even for a small amount of time helped my brain feel more relaxed before I started to study again. This actually benefits my brain and my apartment. ",Mental,Environmental,Environmental,Mental,Mental,Environmental
28,,Went to LA fitness and did some weight lifting. ,Physical,Environmental,Physical,Environmental,Physical,Environmental
29,,I grabbed coffee and had a chat with my mentor ,Physical,Community,Community,Physical,Physical,Community
30,,I reached out to my dad and chatted for a while,Community,,Community,,Community,
